Feed_Temp_K,Feed_Pres_Pa,zF_Benzene,Feed_Flow_kmolh,N_Stages,Feed_Stage_Ratio,Reflux_Ratio,Bottoms_Ratio,Feed_Stage,Bottoms_Flow_kmolh,Distillate_Flow_kmolh,xD_Benzene,xB_Toluene,Q_Condenser_kW,Q_Reboiler_kW
365.4226043951444,142089.83733991493,0.5889131216640708,96.66421055767525,25,0.47181462658901796,3.9734331617880576,0.3795283614168338,12,36.687,59.977,0.9494,0.9997,2559.65,2557.59
353.08718863673244,106169.86633515632,0.513303361580614,111.44585880089211,17,0.4815063430320375,4.113339514807036,0.5982636567669292,8,66.674,44.772,0.9995,0.8133,1957.64,2037.64
355.44454152129845,177686.85566450784,0.6721378950624058,80.50946684807023,27,0.41578728441912205,2.4661758118536308,0.3800641273272067,11,30.599,49.91,0.9991,0.8612,1478.62,1508.2
359.8221616502926,110759.38805100542,0.6644266231970183,98.95649569873703,21,0.5175901706280546,3.067531427064553,0.6380194941605395,11,63.136,35.82,1.0,0.7008,1245.78,1295.57
360.6674174641862,116447.83977701401,0.39002435535097935,100.94484229127326,25,0.40731457704426444,3.718638543905695,0.4713981116031905,10,47.585,53.36,0.7376,0.9993,2196.54,2224.06
358.3562848081128,187599.970958008,0.4618397879183982,115.73501066868944,18,0.6171171413855019,3.765675129725819,0.5598270031376418,11,64.792,50.943,0.999,0.9604,2074.97,2129.07
349.3317504496025,148464.0698473597,0.5054400734380199,80.71941101841992,19,0.49660108948604476,3.5237690077282418,0.5937315625813868,9,47.926,32.793,0.9993,0.8325,1267.09,1336.39
362.65410842244614,196532.8089249787,0.43908816240149784,116.71083759411712,24,0.5717173422763141,3.290608583361113,0.5649410006855504,14,65.935,50.776,0.9983,0.9914,1861.93,1897.68
340.43652816799994,177392.85110528013,0.4259526342714036,111.415683992155,24,0.6479379695664607,2.2847124919630826,0.42115488281376523,16,46.923,64.493,0.7354,0.999,1848.27,1959.66
337.6146596926732,195612.13204246448,0.42715335780664876,119.65748928863823,19,0.6424028500911638,4.4006578070859526,0.6045296610745361,12,72.337,47.32,0.9987,0.9466,2183.75,2342.54
353.4335686459673,152358.4495528948,0.6801487836922672,83.82664216640738,25,0.4459459712835346,4.093665843896421,0.5675228736618492,11,47.574,36.253,0.9999,0.7007,1578.32,1634.32
354.38387282209663,116027.36881363335,0.5366781503178294,99.38429436999378,20,0.3773713872643421,3.400190927465113,0.5800218304441287,8,57.645,41.739,0.9992,0.7983,1569.17,1633.35
329.66381873894466,179655.65228842298,0.3471055952783036,97.44304818683604,17,0.3807801757197135,3.394404780231243,0.5228184941735914,6,50.945,46.498,0.7271,0.9992,1783.81,1933.8
340.2221249096034,124470.82172116947,0.6380405107982849,91.41822067505238,17,0.44905843856207367,4.4912653422609985,0.5934785819811228,8,54.255,37.163,0.9986,0.6994,1744.54,1855.39
327.96940433758493,103578.89101806932,0.4526585817736486,116.89147085727261,18,0.39516832222642945,3.4174074417613496,0.5866236146955786,7,68.571,48.32,0.9989,0.9322,1824.37,2020.84
353.6415902031087,139482.65277318316,0.3207324445430881,85.48673540782634,28,0.6221036055084533,4.102020832726003,0.5473132854866803,17,46.788,38.699,0.7082,0.9992,1727.05,1781.41
353.28965970322776,117589.07834368073,0.5206635256251705,89.76599039052985,18,0.5507918781172791,2.9604545070511117,0.47658631767738213,10,42.781,46.985,0.9947,0.9995,1590.61,1641.39
343.30414407867585,173065.2174167193,0.6921738118181997,84.5533816000062,24,0.37670557580338726,2.46037304127015,0.42045696316857434,9,35.551,49.002,0.9996,0.7314,1448.79,1523.83
354.6526510598943,189882.46235288883,0.5629347448021259,104.51834620780228,18,0.5959870327520718,3.1930422484548338,0.38246230353689614,11,39.974,64.544,0.9117,0.9996,2328.22,2370.14
368.18597509110015,185286.76096707257,0.5775131394070916,83.06622079255682,17,0.40480434641918484,2.7496380323142784,0.5475388115048494,7,45.482,37.584,0.9985,0.7703,1204.7,1210.56
323.9892259054044,154034.02506236208,0.6414158288072841,102.23700699550591,25,0.4313774466296825,3.655021261541205,0.5193150491167614,11,53.093,49.144,0.9996,0.7004,1955.53,2135.04
